actual,predicted
pre-flowering,flowering-stage-1
pre-flowering,pre-flowering
pre-flowering,pre-flowering
pre-flowering,pre-flowering
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-1
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-2
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-2
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
post-flowering,post-flowering
post-flowering,flowering-stage-2
post-flowering,post-flowering
