@relation Flowering2016-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-V-N10-F1

@attribute 'Weight Diff' numeric
@attribute 'Hour min' numeric
@attribute 'Hour max' numeric
@attribute 'Dur min' numeric
@attribute 'Dur max' numeric
@attribute Stage {pre-flowering,flowering-stage-1,flowering-stage-2,post-flowering}

@data

-0.24,20.571429,2.090592,5.101045,0,pre-flowering
0.1,12.250871,20.376307,1.421603,0.250871,pre-flowering
0,17.503497,10.909091,1.93007,0,pre-flowering
-0.3,22.829268,15.094077,2.341463,0.083624,pre-flowering
-0.2,21.50662,15.763066,5.602787,2.508711,pre-flowering
0.3,7.090909,22.993007,0.41958,2.013986,flowering-stage-2
0.763333,11.43503,22.829268,6.940767,2.174216,flowering-stage-2
0.68,7.944251,22.383275,0.334495,0.501742,flowering-stage-2
0.66,9.198606,22.517073,1.337979,1.505226,flowering-stage-2
0.216667,7.071429,22.640816,0.257143,1.885714,flowering-stage-2
0.5,7.442509,22.536585,1.003484,1.087108,flowering-stage-2
0.1,12,21.524476,3.356643,2.433566,flowering-stage-1
0.7,11.010453,21.166086,0.334495,0.752613,flowering-stage-1
0.783333,11.414634,22.662021,1.421603,2.508711,flowering-stage-1
0.5,16.222997,22.327526,0.167247,3.344948,flowering-stage-1
0.5,14.517073,22.745645,5.770035,2.508711,flowering-stage-1
0.55,11.250373,21.955021,2.341463,3.763066,flowering-stage-1
1,10.144197,22.996516,1.254355,2.006969,flowering-stage-1
0.3,11.289199,20.398606,1.337979,1.254355,flowering-stage-1
0.5,10.076655,22.202091,0.752613,0.752613,flowering-stage-1
0.6,12.097561,22.662021,0.250871,1.337979,flowering-stage-1
0.6,11.623693,22.87108,1.672474,2.25784,flowering-stage-1
0.5,12.708487,22.892989,0.97417,2.214022,flowering-stage-1
0.3,11.121951,22.285714,2.843206,0.083624,flowering-stage-1
0.543333,9.870968,22.195804,6.461538,3.440559,flowering-stage-1
0.32,12.477535,22.118467,1.756098,0.083624,flowering-stage-1
-0.06,7.358885,15.950545,0.501742,5.602787,post-flowering
0.3,6.881119,22.027972,0.167832,0.083916,post-flowering
-0.3,14.992056,4.449577,2.675958,9.95122,pre-flowering
-0.333333,22.155759,14.968641,3.094077,0,pre-flowering
-0.4,13.379791,0.501742,0,0.836237,pre-flowering
0,20.15331,15.052265,0.66899,0,pre-flowering
0,12.804167,19.444444,1.666667,0.5,pre-flowering
0.1,7.242857,22.585714,0.085714,0.942857,flowering-stage-2
0.5,8.445993,22.996516,0,2.006969,flowering-stage-2
